"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"GURULEV, Andrey Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","16/10/1967","Russia","14305","Russia (Sanctions) (EU Exit) Regulations 2019"
"GUSAKOVSKY, Aleksandr Vladislavovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","25/08/1970","","14921","Russia (Sanctions) (EU Exit) Regulations 2019"
"GUSEV, Denis Vladimirovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","26/12/1976","","14884","Russia (Sanctions) (EU Exit) Regulations 2019"
"GUSEV, Dmitry Gennadievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","23/07/1972","Russia","14306","Russia (Sanctions) (EU Exit) Regulations 2019"
"IGNATOV, Viktor Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","15/10/1968","Russia","14634","Russia (Sanctions) (EU Exit) Regulations 2019"
"IGOSHIN, Igor Nikolaevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","11/12/1970","Russia","14342","Russia (Sanctions) (EU Exit) Regulations 2019"
"IKONNIKOV, Vasily Nikolayevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","26/04/1961","","14936","Russia (Sanctions) (EU Exit) Regulations 2019"
"ILINYKH, Vladimir Alekseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","20/05/1975","Russia","14343","Russia (Sanctions) (EU Exit) Regulations 2019"
"ILTYAKOV, Alexander Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/10/1971","Russia","14344","Russia (Sanctions) (EU Exit) Regulations 2019"
"ISAEV, Andrey Konstantinovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/10/1964","Russia","14345","Russia (Sanctions) (EU Exit) Regulations 2019"
"ISAKOV, Eduard Vladimirovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","04/10/1973","","14883","Russia (Sanctions) (EU Exit) Regulations 2019"
"ISAKOV, Vladimir Pavlovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","25/02/1987","Russia","14346","Russia (Sanctions) (EU Exit) Regulations 2019"
"ISLAMOV, Dmitry Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/12/1977","Russia","14347","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANINSKY, Oleg Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/06/1966","Russia","14334","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANOV, Maxim Anatolievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","24/11/1967","Russia","14336","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANOV, Maxim Evgenievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","23/05/1987","","14337","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANOV, Nikolai Nikolaevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","17/01/1957","Russia","14338","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANOV, Sergei Borisovich","Individual","Special Presidential Representative for Environmental Protection, Ecology and Transport. Member of the Russian Security Council.","Donetsk | Luhansk","UK (OFSI)","15/03/2022","31/01/1953","Russia","14679","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANOV, Sergey Pavlovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","19/04/1952","","14964","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANOV, Vladimir Valerievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","10/02/1971","Russia","14335","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVANYUZHENKOV, Boris Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","25/02/1966","Russia","14339","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVENSKIKH, Irina Valentinovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","22/07/1972","Russia","14340","Russia (Sanctions) (EU Exit) Regulations 2019"
"IVLEV, Leonid Grigorievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/05/1953","Russia","14341","Russia (Sanctions) (EU Exit) Regulations 2019"
"KABYSHEV, Sergey Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/09/1963","Russia","14348","Russia (Sanctions) (EU Exit) Regulations 2019"
"KACHKAEV, Pavel Rurikovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/10/1951","Russia","14363","Russia (Sanctions) (EU Exit) Regulations 2019"
"KADENKOV, Dmitry Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","03/05/1972","","14350","Russia (Sanctions) (EU Exit) Regulations 2019"
"KALASHNIK, Sergey Viktorovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","31/03/1978","","14926","Russia (Sanctions) (EU Exit) Regulations 2019"
"KALIMULLIN, Rustam Galiullovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","02/01/1958","Russia","14354","Russia (Sanctions) (EU Exit) Regulations 2019"
"KAMNEV, Georgy Petrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/10/1983","Russia","14355","Russia (Sanctions) (EU Exit) Regulations 2019"
"KANAEV, Alexey Valerianovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","30/09/1971","Russia","14356","Russia (Sanctions) (EU Exit) Regulations 2019"
"KANOKOV, Timur Borisovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","24/09/1972","Russia","14633","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARA-OOL, Sholban Valerievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","18/07/1966","Russia","14357","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARASIN, Grigory Borisovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","23/08/1949","","14870","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARELIN, Aleksandr Alexandrovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","19/06/1967","","14933","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARELOVA, Galina Nikolayevna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","29/06/1960","","14880","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARGINOV, Sergey Genrikhovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/09/1969","Russia","14358","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARLIN, Alexander Bogdanovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","29/10/1951","","14836","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARLOV, Georgy Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/01/1971","Russia","14359","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARMAZINA, Raisa Vasilievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/01/1951","Russia","14360","Russia (Sanctions) (EU Exit) Regulations 2019"
"KARPOV, Anatoly Evgenievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","23/05/1951","Russia","14361","Russia (Sanctions) (EU Exit) Regulations 2019"
"KASHIN, Vladimir Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","10/08/1948","Russia","14364","Russia (Sanctions) (EU Exit) Regulations 2019"
"KASTYUKEVICH, Igor Yurievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","06/12/1976","Russia","14362","Russia (Sanctions) (EU Exit) Regulations 2019"
"KAVINOV, Artem Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","03/09/1969","Russia","14349","Russia (Sanctions) (EU Exit) Regulations 2019"
"KAZAKOV, Viktor Alekseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/04/1949","Russia","14351","Russia (Sanctions) (EU Exit) Regulations 2019"
"KAZAKOVA, Olga Mikhailovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","30/05/1968","Russia","14352","Russia (Sanctions) (EU Exit) Regulations 2019"
"KAZANKOV, Sergei Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/10/1972","Russia","14353","Russia (Sanctions) (EU Exit) Regulations 2019"
"KAZANOKOV, Krym Olievich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","19/07/1962","","14826","Russia (Sanctions) (EU Exit) Regulations 2019"
"KERIMOV, Suleyman Abusaidovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","12/03/1966","","14976","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHAMCHIEV, Belan Bagaudinovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","07/12/1960","","14894","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHAMITOV, Amir Mahsudovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/02/1975","Russia","14523","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHAMZAEV, Sultan","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","24/05/1982","Russia","14461","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHAPSIROKOV, Murat Krym-Gerievich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","26/01/1978","","14888","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHARCHENKO, Ekaterina Vladimirovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","11/08/1977","Russia","14525","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHARITONOV, Nikolai Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","30/10/1948","Russia","14524","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHASANOV, Murat Ruslanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","10/12/1970","Russia","14462","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHINSHTEIN, Alexander Evseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","26/10/1974","Russia","14463","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHLYAKINA, Oksana Vladimirovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","28/11/1969","","14858","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHOKHLOVA, Olga Nikolayevna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","18/11/1957","","14950","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHOR, Gleb Yakovlevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","08/04/1963","Russia","14526","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHOVANSKAYA, Galina Petrovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","23/08/1943","Russia","14464","Russia (Sanctions) (EU Exit) Regulations 2019"
"KHUBEZOV, Dmitry Anatolievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","20/12/1971","Russia","14465","Russia (Sanctions) (EU Exit) Regulations 2019"
"KIDYAEV, Viktor Borisovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/07/1956","Russia","14365","Russia (Sanctions) (EU Exit) Regulations 2019"
"KIRYANOV, Artem Yurievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","12/01/1977","Russia","14498","Russia (Sanctions) (EU Exit) Regulations 2019"
"KISELEV, Mikhail Sergeevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","18/06/1986","Russia","14366","Russia (Sanctions) (EU Exit) Regulations 2019"
"KISLOV, Andrey Igoryevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","29/08/1958","","14941","Russia (Sanctions) (EU Exit) Regulations 2019"
"KISLYAK, Sergei Ivanovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","07/09/1950","","14831","Russia (Sanctions) (EU Exit) Regulations 2019"
"KISLYAKOV, Mikhail Leonidovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","18/11/1975","Russia","14367","Russia (Sanctions) (EU Exit) Regulations 2019"
"KIZEEV, Mikhail Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","31/03/1978","","14368","Russia (Sanctions) (EU Exit) Regulations 2019"
"KLIMOV, Andrei Akardyevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","09/11/1954","","14840","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOCHIEV, Robert Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","16/03/1966","Russia","14369","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOGAN, Alexander Borisovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","26/02/1969","Russia","14499","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOGOGINA, Alfia Gumarovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","22/02/1968","Russia","14619","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOLBIN, Sergei Nikolayevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","29/10/1969","","14959","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOLESNIK, Andrei Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","26/02/1960","Russia","14370","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOLESNIKOV, Oleg Alekseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","11/09/1968","Russia","14500","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOLOKOLTSEV, Vladimir Alexandrovich","Individual","Permanent member of the Russian Security Council.","Donetsk | Luhansk","UK (OFSI)","15/03/2022","11/05/1961","Russia","14678","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOLOMEYTSEV, Nikolay Vasilievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/09/1956","","14371","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOLUNOV, Sergey Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","22/03/1973","","14501","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOMOTSKY, Boris Olegovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","31/01/1956","","14372","Russia (Sanctions) (EU Exit) Regulations 2019"
"KONDRATENKO, Aleksey Nikolayevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","16/12/1969","","14839","Russia (Sanctions) (EU Exit) Regulations 2019"
"KONDRATYUK, Nikolai Fyodorovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","07/11/1957","","14961","Russia (Sanctions) (EU Exit) Regulations 2019"
"KONONOV, Vladimir Mikhailovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","13/03/1958","Russia","14502","Russia (Sanctions) (EU Exit) Regulations 2019"
"KORNIENKO, Alexey Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","22/07/1976","Russia","14373","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOROBOVA, Olga Vladimirovna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","15/09/1978","Russia","14629","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOSACHEV, Konstantin Iosifovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","17/09/1962","","14830","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOSHELEV, Vladimir Alekseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/10/1974","Russia","14374","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOSIKHINA, Natalya Vladimirovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","08/07/1972","","14963","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOSTENKO, Natalya Vasilievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/08/1980","Russia","14375","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOTKIN, Sergey Nikolaevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","11/03/1956","Russia","14376","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOVPAK, Lev Igorevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","23/10/1978","Russia","14536","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOZHANOVA, Irina Andreyevna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","07/06/1987","","14943","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOZHIN, Vladimir Igorevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","28/02/1959","","14887","Russia (Sanctions) (EU Exit) Regulations 2019"
"KOZLOVSKY, Alexander Nikolaevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/05/1973","Russia","14377","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRASHENINNIKOV, Pavel Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","21/06/1964","Russia","14378","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRASNOSHTANOV, Anton Alekseevich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","10/06/1986","Russia","14503","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRASNOV, Igor Viktorovich","Individual","Prosecutor General and Member of the Russian Security Council","Donetsk | Luhansk","UK (OFSI)","15/03/2022","24/12/1975","Russia","14793","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRASOV, Andrey Leonidovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","27/01/1967","Russia","14379","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRAVCHENKO, Denis Borisovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","17/04/1976","Russia","14537","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRAVCHENKO, Vladimir Kasimirovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","12/06/1964","","14946","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRESS, Viktor Melkhiorovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","04/05/2022","16/11/1948","Russia","15344","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRIVONOSOV, Sergey Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","29/05/1971","Russia","14504","Russia (Sanctions) (EU Exit) Regulations 2019"
"KRUGLY, Vladimir Igorevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","27/05/1955","","14866","Russia (Sanctions) (EU Exit) Regulations 2019"
"KULIKOVSKIKH, Nina Germanovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","05/02/1961","","14873","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUMIN, Vadim Valentinovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/01/1973","Russia","14380","Russia (Sanctions) (EU Exit) Regulations 2019"
"KURBANOV, Rizvan Daniyalovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","03/01/1961","","14381","Russia (Sanctions) (EU Exit) Regulations 2019"
"KURINNY, Alexey Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","18/01/1974","","14382","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUSAIKO, Tatyana Alekseevna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","15/01/1960","Russia","14383","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUSHNAREV, Vitaly Vasilievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","01/05/1975","Russia","14505","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUTEPOV, Andrey Viktorovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","06/04/1971","","14958","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUZMIN, Dmitry Gennadyevich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","28/06/1975","","14924","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUZMIN, Mikhail Vladimirovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/08/1955","Russia","14384","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUZNETSOV, Andrey Anatolievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","29/05/1972","Russia","14386","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUZNETSOV, Dmitry Vadimovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","05/03/1975","Russia","14385","Russia (Sanctions) (EU Exit) Regulations 2019"
"KUZNETSOVA, Anna Yurievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","03/01/1982","Russia","14387","Russia (Sanctions) (EU Exit) Regulations 2019"
"KVITKA, Ivan Ivanovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","04/05/1967","Russia","14388","Russia (Sanctions) (EU Exit) Regulations 2019"
"LAMEIKIN, Dmitry Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","27/02/1977","Russia","14506","Russia (Sanctions) (EU Exit) Regulations 2019"
"LANTRATOVA, Yana Valerievna","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","14/12/1988","Russia","14389","Russia (Sanctions) (EU Exit) Regulations 2019"
"LAVRINENKO, Alexey Fedorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","20/08/1955","Russia","14390","Russia (Sanctions) (EU Exit) Regulations 2019"
"LAZUTKINA, Yuliya Viktorovna","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","03/11/1981","","14937","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEBEDEV, Evgeny Viktorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","12/12/1957","Russia","14391","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEBEDEV, Oleg Alexandrovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","12/10/1976","Russia","14392","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEBEDEV, Vladimir Albertovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","23/04/1962","","14862","Russia (Sanctions) (EU Exit) Regulations 2019"
"LECHKHADZHIEV, Ruslan Abdulvakhievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","02/07/1965","Russia","14233","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEDKOV, Grigory Petrovich","Individual","Member of the Federation Council of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","15/03/2022","26/03/1969","","14956","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEONOV, Oleg Yurievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","10/09/1970","Russia","14393","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEONOV, Sergey Dmitrievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","09/05/1983","Russia","14232","Russia (Sanctions) (EU Exit) Regulations 2019"
"LESUN, Anatoly Fedorovich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","27/02/1959","Russia","14564","Russia (Sanctions) (EU Exit) Regulations 2019"
"LEVCHENKO, Sergey Georgievich","Individual","Member of the State Duma of the Russian Federation","Donetsk | Luhansk","UK (OFSI)","11/03/2022","02/11/1953","Russia","14231","Russia (Sanctions) (EU Exit) Regulations 2019"
