Official ID,Name (Latin),Name (Cyrillic),Territory,Role / Position,Level,Location,Year Start,Year End,Still in Post?,Origin,Career Before,Career After,Links to Other Officials,Links to Russian State Bodies,Business / Economic Connections,Military Connections,Notes on Role
OFC-686,Pronko Yuriy Alexandrovich,Пронько Юрий Александрович,LPR,Former Minister of Agriculture and Food of the ‘Luhansk People's Republic’,Regional,Luhansk,2017,2022,No,Luhansk region,,,,,,,
OFC-687,Dubovskiy Ruslan Mihajlovich,Дубовский Руслан Михайлович,DPR,Former Minister of Coal and Energy of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,2022,Unknown,Donetsk region,,,,,,,
OFC-688,Tambovtsev Andrei Mikhaylovich,Тамбовцев Андрей Михайлович,LPR,Member of the ‘People’s Council’ of the ‘Luhansk People’s Republic’,Regional,Lutuginsky District,2014,2023,No,Luhansk region,,,,,,,
OFC-690,Khvorostian Svetlana Vadimovna,Хворостян Светлана Вадимовна,LPR,Member of the ‘People’s Council’ of the ‘Luhansk People’s Republic’,Regional,Bryanka,2014,2023,No,"Ukrainian-born, collaborator",,,,,,,
OFC-691,Jarosh Petr Grigorievich,Ярош Петр Григорьевич,Crimea,Former head of the Federal Migration Service office for Crimea.,Regional,Crimea,2014,,No,"Born in Simferopol, Crimea.",,,,,,,
OFC-692,Leshchenko Yan Vitalyevich,Лещенко Ян Витальевич,LPR,Deputy of the 'People’s Council' of the 'Luhansk People’s Republic',Regional,Luhansk,2023,,Yes,Luhansk region,,,,,,,
OFC-693,Manezhina Tatyana Anatolyevna,Манежина Татьяна Анатольевна,Crimea,Minister of Culture of the Republic of Crimea,Regional,Crimea,2021,2024,No,"Born in Chelyabinsk, Ukrainian, collaborator",,,,,,,
OFC-694,Kovalchuk Sergey Alexandrovich,Ковальчук Сергей Александрович,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,2023,No,Luhansk region,,,,,,,
OFC-695,Gavrilchuk Sergey Alekseevich,Гаврильчук Сергей Алексеевич,Crimea,"Head of the regional headquarters of Yunarmiya of the Republic of Crimea; Deputy of the Gvardeyskaya village council of the Simferopoldistrict of the 'Republic of Crimea', representing the United Russia",Regional,Crimea,2022 (at least),,Yes,"Born in Simferopol, Crimea.",,,,,,,
OFC-696,Demeshko Bella Seyranovna,Демешко Бэлла Сейрановна,LPR,Member of the ‘People’s Council’ of the ‘Luhansk People’s Republic’,Regional,Rovenky,2014,,Yes,"Born in Tbilisi, Georgia",,,,,,,
OFC-697,Merkulov Vadim Nikolaevich,Меркулов Вадим Николаевич,Crimea,Head of the Expert unit of the Federal Security Service of the Russian Federation for Crimea and Sevastopol,Regional,Crimea,,,Unknown,From Russia,,,,,,,
OFC-698,Chernobay Denis Sergeyevich,Чернобай Денис Сергеевич,DPR,Chairman of the 'Donetsk People Republic' branch of the All-Russian public-state movement of children and youth 'Movement of the First',Regional,Donetsk,2023,2026,No,"Ukrainian-born, collaborator",,Deputy Head of the Information and Analysis Department of the Ministry of Youth Policy of the DPR.,,,,,
OFC-699,Falaleev Andrey Pavlovich,Фалалеев Андрей Павлович,Crimea,Rector of the V.I. Vernadsky Crimean Federal University,Regional,Crimea,2017,2023,No,"Born in Kerch, Crimea",,,,,,,
OFC-700,Yatsenko Viktor Vyacheslavovich,Яценко Виктор Вячеславович,DPR,Member of the Central Council of the Party 'A Just Russia – For the Truth',Regional,Donetsk,2021,2024,No,"Born in Kherson, Ukraine",Former Minister of Communications of the ‘Donetsk People’s Republic’ (until October 2019).,"On 3 June 2024, he registered as a private entrepreneur.",,,,,
OFC-701,Kuznetsov Vladislav Garievich,Кузнецов Владислав Гариевич,LPR,Former First Deputy Chairman of the 'government' of the Luhansk People’s Republic.,Regional,Luhansk,2022,2023,No,Born in Moscow,,Governor of the Chukotka Autonomous Okrug since 2023.,,,,,
OFC-702,Kastyukevich Igor Yurevich,Кастюкевич Игорь Юрьевич,Kherson Oblast,"Secretary of the Kherson regional branch of the United Russia party, 'Senator of the Russian Federation — representative of the legislative branch of the Kherson Oblast'",Regional,Kherson Oblast,2023,,Yes,"Born in Saratov, Russia",Former Member of the State Duma.,,,,,,
OFC-704,Halepa Igor Nikolaevich,Халепа Игорь Николаевич,DPR,Former Minister of Communications of the 'Donetsk People’s Republic',Regional,Donetsk,2019,2025,No,Donetsk region,,,,,,,
OFC-705,Miroshnik Rodion Valeryevich,Мирошник Родион Валерьевич,LPR,Ambassador-at-large of the Russian Foreign Ministry 'on the crimes of the Kyiv regime',Regional,Luhansk,2023,,Yes,Luhansk region,Former 'Ambassador extraordinary and plenipotentiary' of the 'Luhansk People’s Republic' to the Russian Federation.,,,,,,
OFC-708,Pilavov Pavel Aristievich,Пилавов Павел Аристеевич,LPR,Member of the ‘People’s Council’ of the ‘Luhansk People’s Republic’,Regional,Luhansk,2014,,Yes,Born in Georgian SSR,,,,,,,
OFC-709,Danilchenko Galina Viktorivna,Данилченко Галина Викторовна,Multiple,Appointed acting mayor of Melitopol by Russian occupation forces,City,Melitopol,2022,2025,No,"Born in Melitopol, Ukraine",,,,,,,
OFC-711,Berdichevsky Vladislav Leonidovich,Бердичевский Владислав Леонидович,DPR,Former Member of the 'People’s Council' of the 'Donetsk People’s Republic',Regional,Donetsk,2018,2023,No,"Ukrainian-born, collaborator",,,,,,,
OFC-712,Zhoga Artem Vladimirovich,Жога Артем Владимирович,DPR,Chairman of the 'People’s Council of the Donetsk People’s Republic',Regional,Donetsk,2023,2024,No,"Born in Magadan Oblast, Russia",Previous Commander of the Sparta Battalion.,7th Plenipotentiary Representative of the President of the Russian Federation in the Ural Federal District since 2024.,,DPR People's Council; United Russia party.,,,
OFC-715,Prokopenko Sergey Borisovich,Прокопенко Сергей Борисович,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2015,,Yes,"Born in Taganrog, Rostov oblast, Russia",,,,,,,
OFC-717,Eliseev Sergey Vladimirovich,Елисеев Сергей Владимирович,Kherson Oblast,Former Head of the Kherson Civil-Military Administration,Regional,Kherson,2022,2022,No,From Russia (Government of the Russian Federation). Born in Stavropol,,"Currently, Deputy Plenipotentiary Representative of the President of the Russian Federation in the North-West Federal District.",,,,,Associated entities: Government of the Russian Federation.
OFC-718,Knyrik Konstantin Sergeyevich,Кнюрик Константин Сергеевич,Crimea,"A pro-Russian activist running MediaGroup News Front Ltd, a news website registered in the Crimean Peninsula. Chief of the Crimean division of the Rodina Party, a pro-Kremlin party",Regional,Crimea,2015,,Yes,"Born in Bakhchisaray, Autonomous Republic of Crimea, Ukraine",,,,,,,
OFC-719,Lisobey Yaroslav Igorevich,Лисобей Ярослав Игоревич,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2018,,Yes,"Ukrainian-born, collaborator",,,,,,,
OFC-720,Pokintelitsa Yuri Ivanovich,Покинтелица Юрий Иванович,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2018,,Yes,"Born in Odesa, Ukraine",,,,,,,
OFC-721,Samatov Timur Ilgizovich,Саматов Тимур Ильгизович,Multiple,Appointed Minister of Industry and Trade of the 'People’s Republic of Luhansk' by the Russian government,Regional,Luhansk,2022,2024,No,"Born in Kazan, Russia",,Has been appointed Minister of Industry and Trade of the Khabarovsk Krai in 2025.,,,,,
OFC-723,Morgun Oleg Valerievich,Моргун Олег Валерьевич,Multiple,Mayor of Mariupol,City,Mariupol,2023,2023,No,"Born in Vinnytsia Oblast, Ukraine",,,,,,,
OFC-724,Orlov Yevgeniy Vyacheslavovich,Орлов Евгений Вячеславович,DPR,Former Member of the ‘National Council’ of the ‘Donetsk People’s Republic’; Former chairman of the public movement ‘Free Donbass’ and former commander of 'Don battalion',Regional,Donetsk,2014,2023,No,Donetsk region,,,,,,,
OFC-725,Lapteva Lesya Mikhaylovna,Лаптева Леся Михайловна,LPR,"Former Minister of Education, Science, Culture and Religion of the ‘Luhansk People's Republic’",Regional,Luhansk,2014,2015,No,"Born in Kazakh SSR, raised in Ukraine",,Working for the Fund ‘Mir Detiam’ in Moscow.,,,,,Married name. Namn som gift.
OFC-726,Lustenko Andrey Yurievich,Лустенко Андрей Юрьевич,LPR,Former Minister of Education and Science of the 'Luhansk People's Republic',Regional,Luhansk,2021,2022,No,Luhansk region,,,,,,,
OFC-727,Nimchenko Yury Petrovich,Нимченко Юрий Петрович,Crimea,Senator of the Federation Council from the 'Republic of Crimea',Regional,Moscow,2024,,Yes,"Born in Kirovohrad Oblast, Ukraine",,,,,,,
OFC-729,Polkovnikov Dmitry Aleksandrovich,Полковников Дмитрий Александрович,Crimea,Director of Crimea Patriot Centre (also known as 'Krympatriotcentr'),Regional,Crimea,2022,2024,No,"Born in Kostroma, Russia",,,,,,,
OFC-730,Shishkina Elena Nikolaevna,Шишкина Елена Николаевна,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2018,,Yes,"Ukrainian-born, collaborator",,,,,,,
OFC-731,Titskiy Anton Robertovich,Тицкий Антон Робертович,Zaporizhzhia Oblast,First Deputy Governor of the Zaporizhzhia Oblast,Regional,Zaporizhzhia Oblast,2024,,Yes,"From Russia, born in Volgograd",From 2022 to 2024 – Minister for Youth Policy of the Russian-occupied Military-Civilian Administration of Zaporizhzhia Oblast,,,,,,Associated entities: Government of the Russian Federation.
OFC-732,Oprischenko Aleksandr Aleksandrovich,Оприщенко Александр Александрович,DPR,First Deputy Minister of Healthcare of the 'Donetsk People’s Republic',Regional,Donetsk,2022,,Unknown,Donetsk region,2016 - 2022 Minister of healthcare of DPR.,,,,,,
OFC-733,Kuzmin Konstantin Alexandrovich,Кузьмин Константин Александрович,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,,Yes,Donetsk region,,,,,,,
OFC-734,Anika Yaroslav Gennadievich,Аника Ярослав Геннадьевич,DPR,Former Member of the 'People’s Council' of the 'Donetsk People’s Republic',Regional,Donetsk,2014,2023,No,"Ukrainian-born, collaborator",,,,,,,
OFC-736,Bondarenko Alexander Alexandrovich,Бондаренко Александр Александрович,DPR,Minister of transport of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2024,,Yes,,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,,,,,,
OFC-737,Golubovich Mikhail Artemovich,Голубович Михаил Артемович,LPR,Minister of Youth Policy of the Luhansk People’s Republic,Regional,Luhansk,2025,,Yes,"Ukrainian-born, collaborator",,,,,,,
OFC-739,Temirgaliev Rustam Ilmirovich,Темиргалиев Рустам Ильмирович,Crimea,Former Deputy Prime Minister of Crimea.,Regional,Crimea,2013,2014,No,"Born in Ulan-Ude, Russia",,,,,,,"On 11 June 2014, he resigned from his function as ‘First Deputy Prime Minister’ of the ‘Republic of Crimea’."
OFC-740,Poklonskaya Natalia Vladimirovna,Поклонская Наталья Владимировна,Crimea,Prosecutor,Regional,Crimea,2014,2016,No,Luhansk region,"Former Deputy head of the Federal Agency for Compatriots Living Abroad (CIS), and International Humanitarian Cooperation (Rossotrudnichestvo).",Since 2022 Adviser to the Prosecutor General of Russia.,,,,,
OFC-741,Belaventsev Oleg Yevgenyvich,Белавенцев Олег Евгеньевич,Crimea,Former Plenipotentiary Representative of the President of the Russian Federation into the ‘Crimean Federal District’,Regional,Crimea,2014,2016,No,"Born in Pskov oblast, Russia",Former non-permanent member of the Russian Security Council.,,,,,,
OFC-742,Savelyev Oleg Genrikhovich,Савельев Олег Генрихович,Crimea,Former Minister for Crimean Affairs,Regional,Crimea,2014,2015,No,"Born in St Petersburg, Russia",,Deputy Minister of Defence and Chief of Staff at the Ministry of Defence of the Russian Federation (nominated on 20 May 2024).,,,,,Responsible for the integration of Crimea into the Russian system.
OFC-743,Abisov Sergey Vadimovich,Абисов Сергей Вадимович,Crimea,Minister of Interior of the Republic of Crimea,Regional,Crimea,2014,2018,No,"Born in Simferopol, Crimea.",Assistant for the 'Head of the Republic of Crimea'; former aide to the Chairman’ of the Council.,,,,,,
OFC-744,Strelkov Igor,Стрелков Игорь,DPR,"Staff of Main Intelligence Directorate of the General Staff of the Armed Forces of the Russian Federation (GRU). Assistant on security issues to Sergey Aksionov, 'prime-minister of Crimea'",Regional,,2014,2024,No,"From Russia (GRU, Russian military intelligence)",,Arrested in 2024 for 'extremism' (criticised Russian military leadership and Putin).,,,,,Head of ‘Novorossia’ public movement.
OFC-745,Kakidzyanov Igor Evgenevich,Хакимзянов Игорь Евгеньевич,DPR,One of the leaders of armed forces of the ‘Donetsk People's Republic’. Minister of Defense of DPR.,Regional,Donetsk,2014,2018,No,Donetsk region,,,,,,,
OFC-746,Kovitidi Olga Fyodorovna,Ковитиди Ольга Фёдоровна,Crimea,Former member of the Russian Federation Council from the 'Republic of Crimea' and former member of the Federation Council Committee on Constitutional Legislation and State Building,Regional,Moscow,2014,2024,No,"Born in Simferopol, Crimea.",,,,,,,
OFC-747,Gubareva Ekaterina Yurievna,Губарева Екатерина Юрьевна,DPR,Deputy head of military-civil administration in Kherson region,Regional,Kherson Oblast,2022,2022,No,"Born in Kherson region, Ukraine",Former member of the People's Council of the Donetsk People's Republic.,"Some media outlets stated she was put on house arrest in 2022 for economic crime, she however denied the claim.",,,,,
OFC-748,Rudenko Miroslav Vladimirovich,Руденко Мирослав Владимирович,DPR,"Associated with the ‘Donbass People’s Militia’; Member of the ‘People’s Council of the Donetsk People’s Republic’ Committee on Education, Science and Culture",Regional,Donetsk,2014,2023,No,Donetsk region,,,,,,,
OFC-749,Borodai Aleksandr Yurevich,Бородай Александр Юрьевич,DPR,Former ‘Prime Minister of the Donetsk People’s Republic’; Chairman of the Board of the Union of Volunteers of Donbass,Regional,Donetsk,2014,2014,No,Born in Moscow,Involved actively in recruitment and training of ‘volunteers’.,"Since 2021 Member of the State Duma of the Federal Assembly of the Russian Federation, 8th convocation.",,,,,
OFC-750,Lyagin Roman Viktorovich,Лягин Роман Викторович,DPR,Former head of the 'Donetsk People’s Republic' Central Electoral Commission,Regional,Donetsk,2014,2016,No,Donetsk region,Former 'Minister of Labour and Social Policy' (05.2014-09.2014).,In 2019 arrested in Ukraine. By 2023 was still in Ukrainian detention centre.,,,,,
OFC-751,Khryakov Aleksandr Vitalievich,Хряков Александр Витальевич,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,,Yes,Donetsk region,Former ‘Information and Mass Communications Minister’ of the ‘Donetsk People’s Republic’.,,,,,,
OFC-752,Khodakovskii Aleksandr Sergeevich,Ходаковский Александр Сергеевич,DPR,Deputy Head of the Main Directorate of the Federal Service of National Guard Troops of the Russian Federation for the Donetsk People’s Republic,Regional,Donetsk,2023,,Yes,Donetsk region,"Former so-called “Minister of Security of the Donetsk People’s Republic”, as such responsible for the separatist security activities of the “government of the Donetsk People’s Republic”.",,,,,,
OFC-753,Litvinov Boris Alekseevich,Литвинов Борис Алексеевич,DPR,First Secretary of the Committee of the Donetsk Regional Branch of the Communist Party of the Russian Federation,Regional,Donetsk,2022,,Yes,Donetsk region,Former member of the ‘People's Council’ and former chairman of the ‘Supreme Council’ of the ‘Donetsk People's Republic’.,,,,,,
OFC-754,Bashirov Marat Faatovich,Баширов Марат Фаатович,LPR,Second Chairman of the Council of Ministers of the 'Luhansk People’s Republic',Regional,Luhansk,2014,2014,No,"Born in Izhevsk, Russia","Political scientist at the Institute of Communication Management and Director of the Centre for the Study of Problems of International Sanctions Regimes, professor at the Higher School of Economics. Former ‘Prime Minister of the Council of Ministers of the Luhansk People’s Republic’, confirmed on 8 July 2014.",,,,,,
OFC-755,Plotnitskii Igor Venediktovich,Плотницкий Игорь Венедиктович,LPR,Former ‘Defence Minister’ and former ‘Head’ of the ‘Luhansk People's Republic’,Regional,Luhansk,2014,2022,No,"Born in Chernivtsi region, Ukraine",Former Special Envoy of the ‘Luhansk People's Republic’ on Minsk implementation.,,,,,,
OFC-756,Kononov Vladimir Petrovich,Кононов Владимир Петрович,DPR,Defence minister of the ‘Donetsk People's Republic’,Regional,Donetsk,2014,2018,No,Luhansk region,,,,,,,"As of 14 August 2014, he replaced Igor Strelkov/Girkin on the role."
OFC-757,Karyakin Aleksey Vyacheslavovich,Карякин Алексей Вячеславович,LPR,Chairman of the ‘Public Chamber of the Luhansk People’s Republic’,Regional,Luhansk,2014,,Unknown,Local collaborator (Luhansk-based),Until 25 March 2016 ‘Supreme Council Chair of the Luhansk People’s Republic’.,,,,,,Date of listing: 12/07/2014
OFC-758,Pavlenko Vladimir Viktorovich,Павленко Владимир Викторович,DPR,Former Minister of State Security of the ‘Donetsk People's Republic’,Regional,Donetsk,2015,,Yes,Donetsk region,,,,,,,
OFC-759,Kofman Aleksandr Igorevich,Кофман Александр Игоревич,DPR,Former Foreign Minister and First deputy speaker of the 'Parliament' of the 'Donetsk People's Republic',Regional,Donetsk,2014,2016,No,"Born in Makiivka, Ukraine","He ran in the election for head of the Donetsk People’s Republic held on November 2, 2014. According to the election results, he came in second place, receiving the support of 111,024 voters and securing 11.45% of the vote.",,,,,,
OFC-760,Filippova Ekaterina Vladimirovna,Филиппова Екатерина Владимировна,DPR,Former ‘Minister of Justice’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,2015,No,Donetsk region,,"Former Director of the Department of Organizational and Operational Support, Administrative Office of the Council of Ministers of the DPR (2017-2018).",,,,,It is her maiden name.
OFC-761,Basurin Eduard Aleksandrovich,Басурин Эдуард Александрович,DPR,Spokesperson and Deputy Head of the ‘People’s Militia’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,2023,No,Donetsk region,Former Deputy Defence Minister of the 'Donetsk People’s Republic'.,,,,,,
OFC-763,Morozova Darya Vasilievna,Морозова Дарья Васильевна,DPR,Commissioner of Human Rights of the 'Donetsk People’s Republic',Regional,Donetsk,2019,,Yes,"Ukrainian-born, collaborator",,,,,,,
OFC-765,Antyufeyev Vladimir Yuryevich,Антиуфеев Владимир Юрьевич,DPR,Former vice-prime minister of the 'Donetsk People's Republic',Regional,Donetsk,2014,2014,No,From Russia,Former Minister of State Security in the separatist region of Transnistria.,,,,,Soviet/Russian military security background.,Date of listing: 25/07/2014; In his role he is responsible for security and law enforcement.
OFC-766,Bidevka Vladimir Anatolievich,Бидёвка Владимир Анатольевич,DPR,Chairperson of the 'People's Council' of the 'Donetsk People's Republic'.,Regional,Donetsk,2018,2023,No,Donetsk region,,,,,,,
OFC-767,Karyakin Sergey Alexandrovich,Карякин Сергей Александрович,Crimea,Senator of the Federation Council from the 'Republic of Crimea',Regional,Moscow,2024,,Yes,"Born in Simferopol, Crimea.",,,,,,,
OFC-768,Vorona Dmitry Nikolayevich,Ворона Дмитрий Николаевич,Crimea,Senator of the Russian Federation — representative for the Zaporizhzhia Oblast in the Federation Council of Russia,Regional,Moscow,2022,,Yes,Donetsk region,Former CEO of the Crimea Development Corporation.,,Yevgeny Balitsky.,"Kremlin, State Duma.",,,
OFC-770,Pushkin Lyubomir (Andrei) Evgenevich,Пушкин Любомир (Андрей) Евгеньевич,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,2023,No,Donetsk region,,,,,,,
OFC-772,Timofeev Aleksandr Yurievich,Тимофеев Александр Юрьевич,DPR,Former Minister of Finance and Taxes of the 'Donetsk People's Republic',Regional,Donetsk,2014,2018,No,"Born in Stavropol Krai, Russia",,,,,,,
OFC-773,Sheremet Mikhail Sergeyevich,Шеремет Михаил Сергеевич,Crimea,Former First Deputy Prime Minister of Crimea,Regional,Crimea,2014,2016,No,"Born in Dzhankoi, Crimea",,"Since 2016 Member of the State Duma of the Federal Assembly of the Russian Federation, 7th convocation. Member of the State Duma and its Committee on Security and Anti-Corruption.",,,,,
OFC-775,Savchenko Svetlana Borisovna,Савченко Светлана Борисовна,Crimea,The Commissioner for Children’s Rights in the Republic of Crimea,Regional,Crimea,2024,,Yes,Born in Crimea,Advisor to the Chairman of the State Council of the 'Republic of Crimea' (2021-2024). Former Member of the State Duma and former Member of the Duma Committee on Culture.,,,,,,
OFC-776,Pinchuk Andrey Yurevich,Пинчук Андрей Юрьевич,DPR,Former State Security Minister of the 'Donetsk People’s Republic',Regional,Donetsk,2014,2015,No,"From Russia, born in Ulyanovsk",,"Executive Director of the organisation, Head of the Moscow branch of the Union of Donbas Volunteers, and the Council of Commanders",,,,,"Associated with Vladimir Antyufeyev, who was responsible for the separatist “governmental” activities of the “government of the Donetsk People’s Republic”. Senior officer (Colonel) of the Federal Security Service (FSB)."
OFC-777,Bakharev Konstantin Mikhailovich,Бахарёв Константин Михайлович,Crimea,"Member of the State Duma, elected from the 'Republic of Crimea'; Vice Chairman of the Duma Committee on Financial Markets.",Regional,Moscow,2016,,Yes,"Born in Simferopol, Crimea.",,,,,,,
OFC-778,Berezin Fyodor Dmitrievich,Березин Фёдор Дмитриевич,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,,Yes,Donetsk region,Former Deputy Defence Minister of the ‘Donetsk People’s Republic’.,,,,,,"Current Chairman of the Board of Union of Writers of the DPR, Since 2022 – Deputy Commander for Political Affairs of the ‘Diesel’ Tank Battalion (1st Army Corps of the Russian Armed Forces), Major."
OFC-781,Akimov Oleg Konstantinovich,Акимов Олег Константинович,LPR,Chairman of the Board of the Union of Compatriots of the Luhansk Region.,Regional,Luhansk,2020,,Yes,Luhansk region,Former deputy of the ‘Luhansk Economic Union’ in the ‘National Council’ of the ‘Luhansk People’s Republic’.,,,,,,
OFC-782,Mikhaylov Yevgeniy Eduardovich,Михайлов Евгений Эдуардович,DPR,Former Minister of the Council of Ministers (head of the administration for governmental affairs) of the 'Donetsk People's Republic',Regional,Donetsk,2014,2014,No,"Born in Arkhangelsk, Russia",,"In 2023, he joined the Club of Angry Patriots—an organisation led by Igor Strelkov that supports Russia’s invasion of Ukraine and criticises the Russian authorities for their inept conduct of military operations.",,,,,
OFC-783,Muradov Georgiy Lvovich,Мурадов Георгий Львович,Crimea,Deputy Prime Minister of Crimea and Plenipotentiary Representative of Crimea to President Putin,Regional,Crimea,2014,,Yes,"Born in Komi Republic, Russia",,,,,,,
OFC-784,Kornet Igor Aleksandrovich,Корнет Игорь Александрович,LPR,Minister of Interior of the ‘Luhansk People’s Republic’,Regional,Luhansk,2017,2023,No,Luhansk region,,,,,,,
OFC-786,Rusanov Vladislav Adolfovich,Русанов Владислав Адольфович,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2018,2023,No,Donetsk region,,,,,,,
OFC-787,Dubinsky Sergey Nikolaevich,Дубинский Сергей Николаевич,DPR,Head of the Military Intelligence Agency (GRU) of the 'Donetsk People’s Republic',Regional,Donetsk,2014,,Unknown,Donetsk region,,,,,,,
OFC-788,Tsekov Sergey Pavlovych,Цеков Сергей Павлович,Crimea,First Deputy Chairman of the State Council of the Republic of Crimea.,Regional,Crimea,2024,,Yes,"Born in Simferopol, Crimea.",Vice Speaker of the Verkhovna Rada of Crimea; former member of the Federation Council of the Russian Federation from the “Republic of Crimea”.,,,,,,
OFC-789,Karaman Aleksandr Akimovich,Караман Александр Акимович,DPR,Former Deputy Prime Minister for Social Issues of the ‘Donetsk People's Republic’,Regional,Donetsk,2014,2014,No,Born in Moldovan SSR,Former Head of the Administration of the Council of Ministers of the ‘Donetsk People's Republic’.,"On 30 May 2015, the DPR Prosecutor’s Office opened criminal case No. 0212015173000162001 against Alexander Karaman, in which he was charged with kidnapping (Article 127(2) of the Criminal Code). On 26 June 2016, the Donetsk Internal Affairs Directorate officially placed Alexander Karaman on the wanted list.",,,,,
OFC-790,Naden Zinaida Gavrilovna,Наден Зинаида Гавриловна,LPR,Member of the ‘People’s Council’ of the ‘Luhansk People’s Republic’,Regional,Pervomaisk,2014,,Yes,"Born in Odesa, Ukraine",,,,"LPR People's Council (3rd convocation, 2023); United Russia party.",,,
OFC-791,Zhigulin Aleksei Mikhailovich,Жигулин Алексей Михайлович,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2014,,Yes,"Born in Kazakh SSR, raised in Russia and later Ukraine.",,,,,,,
OFC-792,Khalikov Ravil Zakarievich,Халиков Равиль Закариевич,DPR,Former First Deputy Prime Minister of the ‘Donetsk People's Republic’,Regional,Donetsk,2014,2017,No,"Born in Mordovia Republic (Russia), SSR",Former Prosecutor-General of the ‘Donetsk People's Republic’.,He is currently the deputy head of the Moscow branch of the Investigative Committee of the Russian Federation.,,,,,
OFC-793,Makeeva Olga Alexandrovna,Макеева Ольга Александровна,DPR,Deputy Chairman of the Government of the Donetsk People’s Republic – Head of the Representative Office of the Donetsk People’s Republic in Moscow,Regional,Donetsk,2024,,Yes,Donetsk region,"Former Member of the “People’s Council” of the “DPR"" (2014-2022). She was appointed “Ambassador Extraordinary and Plenipotentiary of the Donetsk People’s Republic to the Russian Federation”.",,,,,,
OFC-794,Ananchenko Alexander Yevgenevych,Ананченко Александр Евгеньевич,DPR,Former Prime Minister of the 'Donetsk People’s Republic',Regional,Donetsk,2018,2022,No,Donetsk region,,Senator of the Russian Federation — representative of the People’s Council of the Donetsk People’s Republic (the DPR parliament) in 2022–2023.,,,,,
OFC-795,Bereza Oleg Vladimirovich,Береза Олег Владимирович,DPR,Former Internal Affairs Minister of the ‘Donetsk People's Republic’,Regional,Donetsk,2014,2015,No,"Born in Yuzhno-Sakhalinsk, Russia",,,"Associated with Vladimir Antyufeyev, who was responsible for the separatist ‘governmental’ activities.",,,,
OFC-797,Volkova Natalya Markovna,Волкова Наталья Марковна,DPR,Member of the ‘People’s Council’ of the ‘Donetsk People’s Republic’,Regional,Donetsk,2018,2023,No,Donetsk region,,Member of the Presidential Council for Culture and the Arts of the Russian Federation (since 15 October 2024).,,,,,
OFC-798,Gotsaniuk Yuriy Mikhailovich,Гоцанюк Юрий Михайлович,Crimea,Prime Minister of the 'Republic of Crimea',Regional,Crimea,2019,,Yes,"Born in Novaya Derevnya, Crimea region",,,,,,,
OFC-799,Rogozin Dmitry Olegovich,Рогозин Дмитрий Олегович,Zaporizhzhia Oblast,Senator of the Federation Council for Zaporizhzhia region.,Regional,Zaporizhzhia Oblast / Moscow,2023,,Yes,From Russia,Former Deputy Prime Minister of the Russian Federation. Former General Director in a State corporation.,,,,,,Russian federal politician.
OFC-800,Shatokhin Aleksey Vladimirovich,Шатохин Алексей Владимирович,Crimea,Head of the Service of the Kerch Control Point for the 'Republic of Crimea and City of Sevastopol' of the Federal Security Service of the Russian Federation,City,Kerch,2014,,Unknown,"Born in Feodosia, Crimea",,,,,,,
OFC-801,Kharchenko Leonid Vladimirovich,Харченко Леонид Владимирович,DPR,Head of the Krot Reconnaissance Battalion of the 2nd Department of the Military Intelligence Agency (GRU) of the 'Donetsk People’s Republic',Regional,Donetsk,2014,,Unknown,"Born in Kostyantynivka, Ukraine",,,,,,,
OFC-803,Zheleznaya Anna Aleksandrovna,Железная Анна Александровна,DPR,Deputy of DPR People's Council,Regional,Donetsk,2023,,Yes,Donetsk-based local politician,,,,DPR People's Council; United Russia party.,,,Deputy of the DPR People's Council representing United Russia faction — elected to Russian-controlled occupation legislature in the DPR.
OFC-804,Boryak Andrey Leonidovich,Боряк Андрей Леонидович,DPR,Deputy of DPR People's Council,Regional,Donetsk,2023,,Yes,Donetsk-based local politician,,,,DPR People's Council; United Russia party.,,,Deputy of the DPR People's Council representing United Russia faction — elected to Russian-controlled occupation legislature in the DPR.
